STT,Hoạt chất 1,Hoạt chất 2,Cơ chế,Hậu quả,Xử trí
504,Linezolid,Methylphen idat,Hiệp đồng tác dụng serotonin,"Tăng nguy cơ hội chứng serotonin (sốt cao, rối loạn nhận thức, tăng phản xạ, mất phối hợp, rung giật cơ, cứng cơ, co giật, nhịp tim nhanh, tăng huyết áp, tăng thân nhiệt, vã mồ hôi, ảo giác, kích động hoặc bồn chồn…)","1. Cố gắng tránh sử dụng đồng thời linezolid và methylphenidat. Tốt nhất các thuốc này nên sử dụng cách nhau 2 tuần. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn. 2. Trong hợp không thể trì hoãn điều trị được 2 tuần, bắt buộc sử dụng dài ngày hoặc khẩn cấp bằng linezolid và không có thuốc khác thay thế, cân bằng lợi ích và nguy cơ xảy ra hội chứng serotonin. Nếu lợi ích vượt trội nguy cơ, vẫn có thể sử dụng đồng thời nhưng cần giám sát chặt chẽ chặt chẽ bệnh nhân, đặc biệt trong tháng đầu tiên sử dụng đồng thời 2 thuốc."
505,Linezolid,Mirtazapin,Hiệp đồng tác dụng serotonin,"Tăng nguy cơ hội chứng serotonin (sốt cao, rối loạn nhận thức, tăng phản xạ, mất phối hợp, rung giật cơ, cứng cơ, co giật, nhịp tim nhanh, tăng huyết áp, tăng thân nhiệt, vã mồ hôi, ảo giác, kích động hoặc bồn chồn…)","1. Cố gắng tránh sử dụng đồng thời linezolid và mirtazapin. Tốt nhất các thuốc này nên sử dụng cách nhau 2 tuần. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn. 2. Trong hợp không thể trì hoãn điều trị được 2 tuần, bắt buộc sử dụng dài ngày hoặc khẩn cấp bằng linezolid và không có thuốc khác thay thế, cân bằng lợi ích và nguy cơ xảy ra hội chứng serotonin. Nếu lợi ích vượt trội nguy cơ, vẫn có thể sử dụng đồng thời nhưng cần giám sát chặt chẽ chặt chẽ bệnh nhân, đặc biệt trong tháng đầu tiên sử dụng đồng thời 2 thuốc."
506,Linezolid,Xanh methylen (sử dụng đường tiêm tĩnh mạch),Hiệp đồng tác dụng serotonin,"Tăng nguy cơ hội chứng serotonin (sốt cao, rối loạn nhận thức, tăng phản xạ, mất phối hợp, rung giật cơ, cứng cơ, co giật, nhịp tim nhanh, tăng huyết áp, tăng thân nhiệt, vã mồ hôi, ảo giác, kích động hoặc bồn chồn…)","1. Cố gắng tránh sử dụng đồng thời linezolid và xanh methylen. Tốt nhất các thuốc này nên sử dụng cách nhau 2 tuần. Cân nhắc thay đổi linezolid sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn. 2. Trong hợp không thể trì hoãn điều trị được 2 tuần, bắt buộc sử dụng cả hai thuốc và không có thuốc khác thay thế, cân bằng lợi ích và nguy cơ xảy ra hội chứng serotonin. Nếu lợi ích vượt trội nguy cơ, vẫn có thể sử dụng đồng thời nhưng cần giám sát chặt chẽ chặt chẽ bệnh nhân, đặc biệt trong tháng đầu tiên sử dụng đồng thời 2 thuốc. Lưu ý: xanh methylen sử dụng đường tiêm tĩnh mạch."
507,Linezolid,Sumatriptan,Hiệp đồng tác dụng serotonin,"Tăng nguy cơ hội chứng serotonin (sốt cao, rối loạn nhận thức, tăng phản xạ, mất phối hợp, rung giật cơ, cứng cơ, co giật, nhịp tim nhanh, tăng huyết áp, tăng thân nhiệt, vã mồ hôi, ảo giác, kích động hoặc bồn chồn…)","1. Cố gắng tránh sử dụng đồng thời linezolid và sumatriptan. Tốt nhất các thuốc này nên sử dụng cách nhau 2 tuần. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn. 2. Trong hợp không thể trì hoãn điều trị được 2 tuần, bắt buộc sử dụng dài ngày hoặc khẩn cấp bằng linezolid và không có thuốc khác thay thế, cân bằng lợi ích và nguy cơ xảy ra hội chứng serotonin. Nếu lợi ích vượt trội nguy cơ, vẫn có thể sử dụng đồng thời nhưng cần giám sát chặt chẽ chặt chẽ bệnh nhân, đặc biệt trong tháng đầu tiên sử dụng đồng thời 2 thuốc."
508,Linezolid,Pethidin,Hiệp đồng tác dụng serotonin,"Tăng nguy cơ hội chứng serotonin (sốt cao, rối loạn nhận thức, tăng phản xạ, mất phối hợp, rung giật cơ, cứng cơ, co giật, nhịp tim nhanh, tăng huyết áp, tăng thân nhiệt, vã mồ hôi, ảo giác, kích động hoặc bồn chồn…)","1. Cố gắng tránh sử dụng đồng thời linezolid và pethidin. Tốt nhất các thuốc này nên sử dụng cách nhau 2 tuần. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn. Trong trường hợp bắt buộc sử dụng opioid, có thể đổi sang các opiod khác không có hoạt tính ức chế thu hồi serotonin (morphin, codein, oxycodon, buprenorphin) 2. Trong hợp không thể trì hoãn điều trị được 2 tuần, bắt buộc sử dụng dài ngày hoặc khẩn cấp bằng linezolid và không có thuốc khác thay thế, cân bằng lợi ích và nguy cơ xảy ra hội chứng serotonin. Nếu lợi ích vượt trội nguy cơ, vẫn có thể sử dụng đồng thời nhưng cần giám sát chặt chẽ chặt chẽ bệnh nhân, đặc biệt trong tháng đầu tiên sử dụng đồng thời 2 thuốc."
509,Linezolid,Tramadol,Hiệp đồng tác dụng serotonin,"Tăng nguy cơ hội chứng serotonin (sốt cao, rối loạn nhận thức, tăng phản xạ, mất phối hợp, rung giật cơ, cứng cơ, co giật, nhịp tim nhanh, tăng huyết áp, tăng thân nhiệt, vã mồ hôi, ảo giác, kích động hoặc bồn chồn…)","1. Cố gắng tránh sử dụng đồng thời linezolid và tramadol. Tốt nhất các thuốc này nên sử dụng cách nhau 2 tuần. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn. Trong trường hợp bắt buộc sử dụng opioid, có thể đổi sang các opiod khác không có hoạt tính ức chế thu hồi serotonin (morphin, codein, oxycodon, buprenorphin) 2. Trong hợp không thể trì hoãn điều trị được 2 tuần, bắt buộc sử dụng dài ngày hoặc khẩn cấp bằng linezolid và không có thuốc khác thay thế, cân bằng lợi ích và nguy cơ xảy ra hội chứng serotonin. Nếu lợi ích vượt trội nguy cơ, vẫn có thể sử dụng đồng thời nhưng cần giám sát chặt chẽ chặt chẽ bệnh nhân, đặc biệt trong tháng đầu tiên sử dụng đồng thời 2 thuốc."
510,Linezolid,Methadon,Hiệp đồng tác dụng serotonin,"Tăng nguy cơ hội chứng serotonin (sốt cao, rối loạn nhận thức, tăng phản xạ, mất phối hợp, rung giật cơ, cứng cơ, co giật, nhịp tim nhanh, tăng huyết áp, tăng thân nhiệt, vã mồ hôi, ảo giác, kích động hoặc bồn chồn…)","1. Cố gắng tránh sử dụng đồng thời linezolid và methadon. Tốt nhất các thuốc này nên sử dụng cách nhau 2 tuần. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn. Trong trường hợp bắt buộc sử dụng opioid, có thể đổi sang các opiod khác không có hoạt tính ức chế thu hồi serotonin (morphin, codein, oxycodon, buprenorphin) 2. Trong hợp không thể trì hoãn điều trị được 2 tuần, bắt buộc sử dụng dài ngày hoặc khẩn cấp bằng linezolid và không có thuốc khác thay thế, cân bằng lợi ích và nguy cơ xảy ra hội chứng serotonin. Nếu lợi ích vượt trội nguy cơ, vẫn có thể sử dụng đồng thời nhưng cần giám sát chặt chẽ chặt chẽ bệnh nhân, đặc biệt trong tháng đầu tiên sử dụng đồng thời 2 thuốc."
511,Linezolid,Methyldopa,Chưa rõ,"Tăng nguy cơ xuất hiện cơn tăng huyết áp (đau đầu, đánh trống ngực, cứng cổ)",Chống chỉ định phối hợp
512,Linezolid,Pseudoephed rin (sử dụng đường uống),Tăng tích lũy noradrenalin (norepinephrin),"Tăng nguy cơ xuất hiện cơn tăng huyết áp (đau đầu, đánh trống ngực, cứng cổ, tăng huyết áp)",Chống chỉ định sử dụng pseudoephedrin (sử dụng đường uống) đồng thời hoặc trong vòng 14 ngày trước đó có sử dụng linezolid.
513,Linezolid,Phenylephrin (sử dụng đường uống),Tăng tích lũy noradrenalin (norepinephrin),"Tăng nguy cơ xuất hiện cơn tăng huyết áp (đau đầu, đánh trống ngực, cứng cổ, tăng huyết áp)","1. Chống chỉ định sử dụng phenylephrin sử dụng đường uống đồng thời hoặc trong vòng 14 ngày trước đó có sử dụng linezolid. 2. Đối với phenylephrin sử dụng đường tiêm, cần sử dụng rất thận trọng trên bệnh nhân đang dùng linezolid trong điều kiện giám sát huyết áp chặt chẽ."
514,Linezolid,Nefopam,Nefopam ức chế thu hồi noradrenalin (norepinephrin) và serotonin trên hệ thần kinh,"Tăng nguy cơ kích thích thần kinh trung ương (co giật, ảo giác và kích động)",Chống chỉ định phối hợp
515,Lisinopril,Sacubitril/val sartan (sacubitril),Tăng tích lũy bradykinin gây phù mạch,Tăng nguy cơ phù mạch,Chống chỉ định phối hợp. Chỉ bắt đầu sử dụng Sacubitril/valsartan (sacubitril) sau khi ngừng lisinopril ít nhất 36 giờ.
516,Lopinavir/riton avir,Lovastatin,Lopinavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của lovastatin,"Tăng nồng độ của lovastatin trong huyết thanh, tăng nguy cơ bệnh cơ hoặc tiêu cơ vân cấp","Chống chỉ định phối hợp. Trong trường hợp bắt buộc sử dụng dẫn chất statin, thay lovastatin bằng các dẫn chất statin khác (ngoại trừ simvastatin), sử dụng liều thấp nhất có hiệu quả, atorvastatin không quá 20 mg/ngày, rosuvastatin không vượt quá 10 mg/ngày, pitavastatin và pravastatin không cần hiệu chỉnh liều khi phối hợp."
517,Lopinavir/ritonavir,Simvastatin,Lopinavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của simvastatin,"Tăng nồng độ của simvastatin trong huyết thanh, tăng nguy cơ bệnh cơ hoặc tiêu cơ vân cấp","Chống chỉ định phối hợp. Trong trường hợp bắt buộc sử dụng dẫn chất statin, thay simvastatin bằng các dẫn chất statin khác (ngoại trừ lovastatin) sử dụng liều thấp nhất có hiệu quả, atorvastatin không quá 20 mg/ngày, rosuvastatin không vượt quá 10 mg/ngày, pitavastatin và pravastatin không cần hiệu chỉnh liều khi phối hợp."
518,Lopinavir/ritonavir,Methylergometrin,Lopinavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của methylergometrin,"Tăng nồng độ của methylergometrin trong huyết thanh, tăng nguy cơ độc tính (nôn, buồn nôn, hoại tử đầu chi, thiếu máu cục bộ do co thắt mạch…)","Tốt nhất nên tránh phối hợp. Đối với trường hợp điều trị băng huyết sau sinh, nếu không còn thuốc khác thay thế ở người bệnh đang sử dụng lopinavir/ritonavir sử dụng methylergometrin chỉ khi lợi ích vượt trội nguy cơ và sử dụng liều thấp nhất có hiệu quả trong thời gian ngắn nhất."
519,Lopinavir/ritonavir,Ticagrelor,Lopinavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của ticagrelor,"Tăng nồng độ của ticagrelor trong huyết thanh, tăng nguy cơ xuất huyết",Chống chỉ định phối hợp
520,Lopinavir/ritonavir,Ranolazin,Lopinavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của ranolazin,"Tăng nồng độ ranolazin trong huyết thanh, tăng nguy cơ kéo dài khoảng QT",Chống chỉ định phối hợp
521,Lopinavir/rito avir,Tolvaptan,Lopinavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của tolvaptan,"Tăng nồng độ tolvaptan trong huyết thanh, tăng nguy cơ tác dụng không mong muốn (tăng nồng độ natri huyết thanh, đa niệu, khát nước, giảm thể tích tuần hoàn...)",Chống chỉ định phối hợp
522,Lopinavir/ritonavir,Sildenafil,Lopinavir/ritonavir ức chế CYP3A4 làm giảm chuyển hóa của sildenafil,"Tăng nồng độ sildenafil trong huyết thanh, tăng nguy cơ độc tính (hạ huyết áp, ngất, rối loạn thị giác)","1. Chống chỉ định phối hợp trong trường hợp sử dụng sildenafil điều trị tăng áp động mạch phổi. 2. Trong trường hợp sử dụng sildenafil điều trị rối loạn cương dương, liều sildenafil không vượt quá 25 mg mỗi 48 giờ ở người đang sử dụng lopinavir/ritonavir."
523,Lopinavir/ritonavir,Quetiapin,Lopinavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của quetiapin,"Tăng nồng độ của quetiapin, tăng nguy cơ kéo dài khoảng QT","Tốt nhất nên tránh phối hợp. Trong trường hợp bắt buộc sử dụng lopinavir/ritonavir, giảm liều quetiapin còn 1/6 liều so với liều bình thường."
524,Lopinavir/ritonavir (lopinavir),Rifampicin,Rifampicin cảm ứng CYP3A4 làm tăng chuyển hóa của lopinavir,"Giảm nồng độ lopinavir trong huyết thanh, giảm hiệu quả điều trị","Tốt nhất nên tránh phối hợp. Nếu bắt buộc phối hợp, điều chỉnh liều lopinavir/ritonavir (lopinavir 800 mg + ritonavir 200 mg hai lần mỗi ngày hoặc lopinavir 400 mg + ritonavir 400 mg hai lần mỗi ngày)"
525,Lopinavir/ritonavir (ritonavir),Voriconazol,Ritonavir cảm ứng CYP2C19 (hoặc ức chế CYP3A4 ở người thiếu hoặc giảm hoạt tính CYP2C19) làm tăng (hoặc giảm) chuyển hóa của voriconazol tùy thuộc từng cá thể (voriconazol là cơ chất của cả CYP3A4 và CYP2C19),Giảm (hoặc tăng) nồng độ voriconazol.,"1. Việc phối hợp voriconazol và ritonavir liều cao (400mg mỗi 12 giờ) làm giảm rõ rệt nồng độ voriconazol, vì vậy, chống chỉ định phối hợp voriconazol với ritonavir ở mức liều này. 2. Việc phối hợp voriconazol với ritonavir liều thấp (100mg mỗi 12 giờ) cũng đã cho thấy làm giảm nồng độ voriconazol mặc dù mức độ ít hơn so với liều cao ritonavir, vì vậy, nên tránh phối hợp thuốc trừ khi lợi ích vượt trội nguy cơ."
526,Lopinavir/riton avir (ritonavir),Vardenafil,Ritonavir ức chế CYP3A4 làm giảm chuyển hóa của vardenafil,"Tăng nồng độ vardenafil trong huyết thanh, tăng nguy cơ kéo dài khoảng QT",Chống chỉ định phối hợp
527,Lopinavir/riton avir (ritonavir),Propafenon,Ritonavir ức chế chuyển hóa của propafenon qua CYP3A4 và CYP2D6.,"Tăng nồng độ, dẫn đến tăng độc tính của propafenon (đặc biệt là loạn nhịp tim).",Chống chỉ định phối hợp.
